id_cliente,fecha_saldo,codigo_cliente,importe_operativa,moneda,tipo_operacion
0278,2025-02-27,97584073A,9444.33,USD,Tarjeta
0193,2023-01-15,89050198I,5789.42,GBP,Retirada Efectivo
0062,2025-06-21,61800130C,8137.02,JPY,Tarjeta
0352,2024-09-22,34160987D,5067.51,MXN,Retirada Efectivo
0082,2022-12-10,20849937M,1222.05,GBP,Tarjeta
0194,2024-06-13,91392338E,3910.72,JPY,Retirada Efectivo
0058,2023-08-06,34721532F,4230.56,USD,Retirada Efectivo
0418,2024-08-06,11534627P,144.89,JPY,Tarjeta
0079,2025-05-23,97991887J,-3584.36,USD,Bizum
0152,2022-11-18,88779555I,-2588.35,USD,Transferencia
0191,2022-12-24,72219160B,-3010.18,EUR,Transferencia
0038,2024-11-10,26026604U,1331.45,GBP,Retirada Efectivo
0207,2024-09-25,83296684N,7416.0,JPY,Tarjeta
0394,2023-07-05,64036956H,7904.2,USD,Transferencia
0177,2022-11-17,30268217Y,-9277.61,USD,Bizum
0078,2024-02-07,68876826V,3329.47,MXN,Tarjeta
0275,2022-03-11,11194048D,2566.16,GBP,Tarjeta
0154,2024-12-31,40129809S,137.11,EUR,Tarjeta
0046,2022-12-18,83296684N,9369.64,USD,Tarjeta
0018,2022-03-04,92885083V,8160.61,MXN,Tarjeta
0344,2024-06-16,30470492G,7782.4,GBP,Transferencia
0320,2025-07-10,44027737F,9560.06,EUR,Transferencia
0156,2024-06-03,32039814E,-2342.22,USD,Bizum
0209,2025-04-08,28638940F,-745.21,GBP,Transferencia
0458,2022-05-05,57594673F,-4407.01,EUR,Transferencia
0229,2025-03-16,26043387Y,467.34,JPY,Tarjeta
0420,2023-09-25,15915771I,8201.08,USD,Transferencia
0282,2022-03-16,18899942V,-2018.52,EUR,Bizum
0112,2023-05-24,20808835G,6516.69,USD,Transferencia
0402,2024-07-08,49662850J,1940.21,USD,Retirada Efectivo
0476,2024-03-02,89741042K,-6012.04,GBP,Bizum
0294,2023-09-03,19639671X,2493.81,GBP,Tarjeta
0269,2022-08-30,79161841Q,1916.6,MXN,Tarjeta
0440,2023-02-11,34587632O,5234.64,EUR,Retirada Efectivo
0402,2023-06-18,15455647Q,1623.76,USD,Transferencia
0463,2025-05-28,81950959T,-7372.87,GBP,Bizum
0396,2022-04-21,37108478D,4278.47,JPY,Tarjeta
0476,2023-01-22,14787574E,8151.14,MXN,Retirada Efectivo
0178,2022-04-24,60768720V,8033.75,JPY,Bizum
0029,2022-12-14,49397986U,-6322.95,MXN,Transferencia
0119,2022-04-16,72534705Y,8755.29,MXN,Tarjeta
0016,2022-05-17,34232908K,-4491.46,EUR,Bizum
0055,2024-05-29,89743159P,6671.59,JPY,Tarjeta
0057,2022-04-03,27307581P,-8033.48,JPY,Transferencia
0081,2024-10-18,62506960T,-4976.12,MXN,Transferencia
0437,2025-07-03,52467321Q,1033.93,EUR,Retirada Efectivo
0044,2025-05-14,41640035S,2167.47,MXN,Transferencia
0269,2022-03-15,28726981O,1315.82,EUR,Retirada Efectivo
0082,2022-03-30,11534627P,-7860.4,GBP,Transferencia
0450,2023-01-10,11397512R,-4650.98,MXN,Bizum
0420,2025-01-26,60195151Y,3731.19,GBP,Retirada Efectivo
0397,2025-06-24,28192295U,7064.08,GBP,Tarjeta
0391,2024-04-16,83919232P,3583.52,GBP,Retirada Efectivo
0278,2024-07-13,66954887T,303.69,EUR,Retirada Efectivo
0486,2022-05-08,40075645Z,2133.76,JPY,Retirada Efectivo
0397,2022-09-20,93802972Z,5953.59,JPY,Retirada Efectivo
0318,2023-04-12,64646912J,-3443.19,MXN,Bizum
0222,2025-07-02,84697968G,-6411.35,USD,Transferencia
0116,2023-05-11,13901417L,-9048.79,GBP,Transferencia
0079,2023-12-07,47665911A,1853.68,GBP,Transferencia
0215,2025-03-08,83824578O,-6514.0,EUR,Bizum
0167,2024-04-18,44027737F,7069.55,EUR,Bizum
0022,2024-09-21,54442150K,3854.13,GBP,Bizum
0370,2023-10-16,76381793S,6833.01,GBP,Bizum
0054,2024-10-09,11413210A,8906.52,USD,Retirada Efectivo
0246,2023-04-10,77673987D,7195.92,JPY,Retirada Efectivo
0092,2022-09-19,71055960K,8956.02,USD,Bizum
0029,2023-09-17,79856775V,3941.71,GBP,Tarjeta
0016,2022-11-04,31825576O,-8629.28,GBP,Bizum
0063,2025-01-09,42913560A,1505.99,EUR,Tarjeta
0062,2025-08-23,11413210A,9588.42,EUR,Transferencia
0066,2025-03-24,54442150K,3695.86,MXN,Transferencia
0378,2023-09-24,38328614O,6098.7,JPY,Bizum
0172,2024-05-03,91143064N,5365.8,JPY,Transferencia
0331,2025-03-16,24010733S,3082.01,MXN,Retirada Efectivo
0399,2025-06-24,62278662B,3323.6,USD,Retirada Efectivo
0195,2024-04-19,54442150K,-3197.74,MXN,Bizum
0098,2024-01-26,61775826P,-1452.29,JPY,Transferencia
0445,2023-10-27,32347887Z,8045.51,GBP,Retirada Efectivo
0481,2023-09-22,64250679F,7027.82,JPY,Retirada Efectivo
0042,2023-05-17,28192295U,-2011.84,USD,Bizum
0271,2025-05-08,84310508D,1069.41,JPY,Retirada Efectivo
0342,2023-04-06,84866182V,6737.87,MXN,Retirada Efectivo
0166,2025-09-29,65105764O,-3444.87,USD,Transferencia
0388,2023-04-10,81208497U,1169.61,USD,Tarjeta
0328,2022-10-07,30495588E,5474.44,USD,Retirada Efectivo
0344,2025-12-20,92885083V,4973.41,JPY,Bizum
0267,2022-01-13,64646912J,-8493.7,GBP,Transferencia
0294,2024-03-09,77749295J,5870.5,JPY,Retirada Efectivo
0411,2024-10-22,74701252T,-9211.8,JPY,Bizum
0319,2023-10-29,79161841Q,7300.82,GBP,Tarjeta
0082,2023-03-07,31308169C,1553.23,GBP,Retirada Efectivo
0265,2023-11-25,63817489A,-4595.09,USD,Bizum
0170,2023-12-20,11345140X,5862.49,EUR,Retirada Efectivo
0185,2023-03-11,19470434V,-7901.77,USD,Transferencia
0329,2025-08-05,24010733S,4325.44,GBP,Bizum
0402,2023-10-16,81208497U,7896.63,USD,Tarjeta
0435,2025-11-02,14787574E,5595.38,JPY,Retirada Efectivo
0459,2022-02-15,82172779I,4468.66,JPY,Tarjeta
0444,2025-06-14,71055960K,9829.04,MXN,Retirada Efectivo
0078,2023-01-03,57594673F,1354.51,EUR,Tarjeta
0050,2022-09-03,85046659W,505.73,JPY,Tarjeta
0403,2022-07-17,29668681L,-2819.33,USD,Transferencia
0146,2023-09-08,12626328N,1998.09,MXN,Bizum
0195,2025-06-22,19660138N,4265.83,GBP,Retirada Efectivo
0257,2023-07-13,14788048W,5534.57,JPY,Tarjeta
0068,2025-05-30,46491037V,9949.92,MXN,Bizum
0097,2023-07-30,55015641W,3726.9,USD,Transferencia
0210,2025-12-22,73955695G,3800.6,USD,Retirada Efectivo
0480,2025-03-20,27029841F,-6730.63,JPY,Bizum
0216,2022-12-30,78481808C,3637.52,JPY,Retirada Efectivo
0346,2025-11-12,99140096Y,4342.53,MXN,Tarjeta
0262,2023-11-05,49662850J,1881.93,MXN,Tarjeta
0145,2024-08-08,93295656Z,2086.84,MXN,Retirada Efectivo
0401,2024-09-28,65912819T,-7632.4,GBP,Bizum
0172,2025-07-15,87761418L,5972.66,MXN,Transferencia
0396,2022-05-30,53666983I,7284.06,MXN,Transferencia
0056,2024-04-26,68850455C,1264.66,JPY,Tarjeta
0304,2023-03-31,54442150K,-1000.31,EUR,Transferencia
0130,2023-04-26,92885083V,2813.16,MXN,Bizum
0203,2025-03-23,63273280Q,8343.96,MXN,Retirada Efectivo
0239,2022-08-13,35957775T,-6128.94,JPY,Transferencia
0462,2023-01-12,93616609W,151.32,JPY,Retirada Efectivo
0451,2022-10-07,60195151Y,5652.86,GBP,Retirada Efectivo
0326,2023-12-02,21952227L,-1727.21,USD,Bizum
0500,2024-06-12,27307581P,962.08,EUR,Tarjeta
0163,2024-03-21,38760561N,1021.09,EUR,Tarjeta
0374,2025-03-24,84697968G,5728.51,MXN,Retirada Efectivo
0238,2024-08-13,51923580N,3232.57,MXN,Bizum
0337,2022-01-27,23166003I,8744.98,MXN,Bizum
0375,2025-10-18,19634185O,8642.22,USD,Bizum
0191,2024-06-29,51923580N,8493.75,JPY,Tarjeta
0416,2022-07-22,14694263J,300.34,JPY,Tarjeta
0446,2024-12-05,48760916U,2113.19,JPY,Retirada Efectivo
0089,2022-07-11,18708230V,2970.03,EUR,Tarjeta
0213,2025-12-24,75637771O,6645.8,USD,Retirada Efectivo
0049,2024-08-14,37978995C,6740.48,USD,Retirada Efectivo
0274,2025-05-24,54925263M,6547.4,JPY,Tarjeta
0224,2024-01-31,23312747J,871.31,MXN,Bizum
0039,2023-01-28,35965272I,1658.69,EUR,Bizum
0325,2022-08-27,52467321Q,2859.07,MXN,Transferencia
0207,2024-05-11,88928707R,-8799.81,MXN,Bizum
0382,2024-04-14,11397512R,-8786.52,EUR,Transferencia
0489,2022-01-14,65743702V,7398.4,MXN,Tarjeta
0315,2022-12-23,47187112T,1463.58,JPY,Retirada Efectivo
0019,2025-04-12,61775826P,-5294.83,MXN,Bizum
0479,2025-02-20,84829251A,-4206.13,USD,Bizum
0048,2022-11-15,74344108K,-8898.18,USD,Transferencia
0323,2025-03-03,93616609W,1304.75,GBP,Tarjeta
0114,2024-02-24,40747789Z,462.15,GBP,Transferencia
0259,2022-03-14,26613086K,9735.04,MXN,Transferencia
0395,2025-04-24,36251361X,-6720.28,MXN,Transferencia
0112,2023-09-05,50978539U,447.25,MXN,Tarjeta
0253,2024-08-24,22646389G,3888.81,JPY,Retirada Efectivo
0003,2025-03-29,77401638B,3320.51,JPY,Transferencia
0405,2022-03-16,98785135N,-3711.95,EUR,Bizum
0215,2024-11-26,67901522P,9080.64,USD,Retirada Efectivo
0405,2023-06-06,76204298F,115.86,EUR,Transferencia
0425,2024-11-13,43518692D,-5044.58,EUR,Transferencia
0320,2022-11-01,68904946T,594.79,GBP,Tarjeta
0174,2024-04-04,82238153W,3394.73,USD,Retirada Efectivo
0375,2023-05-07,26026604U,-4745.95,USD,Bizum
0072,2024-09-10,46491037V,7173.37,GBP,Bizum
0187,2022-06-10,93828204U,7685.36,JPY,Tarjeta
0127,2022-02-12,85301757E,-770.3,GBP,Transferencia
0157,2025-05-03,31324961Z,9278.65,JPY,Tarjeta
0033,2024-07-15,69999811Z,6724.19,MXN,Retirada Efectivo
0322,2023-06-08,67292751L,8149.87,USD,Tarjeta
0425,2025-08-28,52427147Z,9632.66,USD,Transferencia
0058,2023-01-18,73955695G,-6027.36,JPY,Transferencia
0368,2025-05-08,95735897U,3923.11,MXN,Tarjeta
0230,2023-06-13,56572821H,-1569.19,JPY,Transferencia
0004,2024-03-30,46491037V,5045.91,GBP,Transferencia
0329,2022-07-02,89129495K,-100.99,USD,Bizum
0451,2022-03-01,35965272I,-5269.54,GBP,Bizum
0078,2024-09-04,50585418A,4941.45,EUR,Retirada Efectivo
0346,2025-06-11,69520769T,3736.71,EUR,Transferencia
0280,2023-08-01,39288180X,9846.78,MXN,Tarjeta
0431,2023-09-18,66510794F,8113.79,GBP,Tarjeta
0030,2024-04-24,18696351I,-8761.47,EUR,Bizum
0488,2025-05-25,85548120N,-6876.94,EUR,Transferencia
0008,2022-07-09,64967407A,-9750.79,MXN,Bizum
0337,2022-06-01,55015641W,6297.48,GBP,Retirada Efectivo
0206,2022-07-23,96244738D,104.85,EUR,Bizum
0133,2024-11-28,88420102P,-7193.39,JPY,Bizum
0425,2025-08-12,15339564Y,492.8,MXN,Transferencia
0498,2025-12-31,50721381L,4999.6,GBP,Bizum
0465,2023-09-15,55183741Y,-2175.85,USD,Bizum
0019,2025-10-10,50664589V,7420.03,EUR,Bizum
0452,2023-03-26,42414355E,-2951.98,JPY,Transferencia
0375,2025-02-02,76381793S,5950.55,GBP,Retirada Efectivo
0193,2025-09-29,48637885K,8761.73,EUR,Tarjeta
0071,2023-12-02,10278500S,9841.31,GBP,Bizum
0335,2024-08-07,50562133T,8998.24,GBP,Tarjeta
0492,2025-09-22,26574180I,4391.27,EUR,Tarjeta
0141,2022-02-14,12111350R,8934.84,USD,Tarjeta
0227,2023-10-21,13901417L,8844.87,EUR,Tarjeta
0500,2022-11-04,76008523U,8186.84,GBP,Retirada Efectivo
0430,2022-04-10,91889521P,-1286.02,GBP,Transferencia
0292,2022-10-06,40342482R,4497.39,USD,Tarjeta
0074,2024-02-28,20118016B,6595.33,GBP,Retirada Efectivo
0429,2025-07-11,92885083V,-3532.25,MXN,Bizum
0199,2025-05-09,57596613B,7520.65,USD,Transferencia
0405,2024-08-10,53666983I,3376.55,EUR,Retirada Efectivo
0391,2023-12-13,53694203X,5486.15,GBP,Retirada Efectivo
0115,2022-08-19,57340126U,1815.42,EUR,Transferencia
0095,2024-07-30,99171250T,4658.94,USD,Transferencia
0243,2024-09-09,92949427I,9053.18,JPY,Retirada Efectivo
0269,2022-08-24,84601530E,9956.46,USD,Tarjeta
0163,2024-06-30,92194905H,4278.4,JPY,Bizum
0457,2025-03-18,91432207P,6034.42,USD,Retirada Efectivo
0492,2024-06-01,24010733S,-6057.29,MXN,Transferencia
0184,2022-11-21,98711061Q,8935.92,JPY,Retirada Efectivo
0319,2023-12-24,44027737F,9675.6,USD,Tarjeta
0349,2024-07-20,23166003I,5954.67,MXN,Tarjeta
0427,2022-12-16,42913560A,7226.17,MXN,Bizum
0443,2023-01-11,91545803N,1256.64,JPY,Tarjeta
0143,2025-03-18,18696351I,2589.79,EUR,Transferencia
0353,2023-10-07,34721532F,4492.48,USD,Transferencia
0277,2025-06-09,51818557H,955.35,USD,Tarjeta
0058,2024-11-21,69520769T,7639.58,USD,Retirada Efectivo
0094,2023-01-31,65912819T,-5739.55,MXN,Transferencia
0448,2025-08-31,15915771I,5994.53,USD,Retirada Efectivo
0271,2025-09-16,18708230V,1703.2,GBP,Bizum
0003,2023-11-21,11397512R,-5943.95,GBP,Transferencia
0431,2024-08-26,23312747J,832.9,USD,Retirada Efectivo
0480,2023-01-06,29586269U,3052.91,MXN,Retirada Efectivo
0009,2022-06-30,12111350R,-1008.27,MXN,Bizum
0193,2022-02-06,53654648M,-527.58,MXN,Bizum
0331,2023-06-13,60157118H,-1384.8,JPY,Bizum
0012,2022-06-21,28638776H,2319.68,USD,Tarjeta
0414,2025-08-28,40982301Z,4468.15,EUR,Tarjeta
0082,2024-09-30,12670899X,5875.13,JPY,Retirada Efectivo
0300,2023-12-05,16027492S,1973.26,EUR,Tarjeta
0040,2025-02-18,68962283V,8426.7,GBP,Retirada Efectivo
0458,2022-10-29,89814350Z,3877.51,MXN,Retirada Efectivo
0269,2023-09-13,13181753F,9596.46,GBP,Retirada Efectivo
0495,2022-04-25,80589731N,8072.93,EUR,Bizum
0113,2025-02-03,93250705D,-2202.41,MXN,Bizum
0418,2023-12-16,66954887T,3627.86,MXN,Tarjeta
0457,2024-08-15,65075772F,8601.27,EUR,Tarjeta
0356,2024-06-13,36182760N,4450.27,USD,Transferencia
0118,2024-07-26,96175166A,-7686.9,GBP,Bizum
0048,2025-07-23,89741042K,1792.05,USD,Tarjeta
0254,2025-04-29,30495588E,9816.07,USD,Retirada Efectivo
0462,2024-07-06,50790465P,375.02,EUR,Transferencia
0084,2025-10-12,77401638B,5922.2,USD,Tarjeta
0140,2023-04-16,89814350Z,8530.17,GBP,Retirada Efectivo
0021,2024-05-31,32705301X,4838.77,EUR,Tarjeta
0486,2025-07-16,40063188Y,3078.65,EUR,Transferencia
0335,2022-09-20,54442150K,1567.25,GBP,Retirada Efectivo
0053,2022-09-26,65429469Q,3415.78,JPY,Retirada Efectivo
0442,2024-07-30,82267962O,2834.89,MXN,Bizum
0434,2023-03-23,30735701E,3840.86,USD,Tarjeta
0398,2023-03-23,17398635D,8910.3,EUR,Tarjeta
0245,2022-11-17,27307581P,7543.15,GBP,Bizum
0163,2024-04-17,92885083V,-6722.52,GBP,Bizum
0481,2023-06-09,85046659W,438.12,USD,Retirada Efectivo
0035,2025-10-19,97584073A,1669.93,GBP,Transferencia
0442,2023-12-14,19447051Q,6644.31,GBP,Bizum
0148,2025-06-18,61800130C,8495.88,USD,Tarjeta
0269,2022-11-07,12626328N,2161.78,USD,Retirada Efectivo
0112,2022-05-20,99376477E,-8314.47,USD,Transferencia
0093,2024-05-08,82524490J,7729.08,USD,Retirada Efectivo
0005,2025-10-09,66510794F,-9429.37,USD,Transferencia
0297,2025-03-21,43103639C,9377.89,MXN,Bizum
0487,2025-07-13,93295656Z,256.22,JPY,Tarjeta
0234,2023-10-29,63646163V,9766.8,MXN,Tarjeta
0079,2023-12-10,80354341P,-4525.09,MXN,Bizum
0369,2022-05-19,48751165V,4439.1,GBP,Tarjeta
0057,2022-10-18,98785135N,5248.17,JPY,Tarjeta
0333,2025-09-11,81971749N,-5767.83,EUR,Bizum
0482,2022-01-04,51613718E,5789.1,EUR,Tarjeta
0139,2022-09-16,98997352N,9415.03,JPY,Tarjeta
0204,2024-02-18,98711061Q,3160.12,JPY,Tarjeta
0482,2023-05-15,46614032W,7710.63,EUR,Tarjeta
0244,2024-05-11,32233871Y,1373.78,GBP,Tarjeta
0465,2022-03-30,82267962O,-6428.2,GBP,Bizum
0042,2024-10-18,48637885K,6710.01,MXN,Transferencia
0091,2023-12-12,31994965E,-7688.08,EUR,Transferencia
0108,2024-11-06,65912819T,531.75,GBP,Retirada Efectivo
0182,2024-02-29,81950959T,1949.43,MXN,Transferencia
0102,2023-12-02,35994353A,6517.16,JPY,Tarjeta
0185,2023-03-06,36680443A,3130.17,GBP,Retirada Efectivo
0405,2022-02-27,77673987D,9796.69,EUR,Retirada Efectivo
0095,2025-01-27,47186428O,148.45,GBP,Transferencia
0195,2024-06-21,12670899X,-993.48,JPY,Bizum
0131,2023-07-21,64637198O,732.26,USD,Tarjeta
0185,2025-10-01,34587632O,725.77,EUR,Tarjeta
0138,2024-06-17,62506960T,4007.24,JPY,Transferencia
0104,2023-11-21,96043651D,-7343.81,USD,Transferencia
0140,2022-07-07,26613086K,4058.43,GBP,Retirada Efectivo
0497,2025-06-14,36766762H,822.12,JPY,Tarjeta
0426,2022-08-06,80821009V,649.25,EUR,Bizum
0060,2025-05-24,67421117B,-6645.01,USD,Transferencia
0134,2023-06-25,99328532J,8549.19,JPY,Retirada Efectivo
0067,2022-12-30,10278500S,-8784.85,EUR,Transferencia
0220,2025-04-09,93250705D,9249.18,GBP,Retirada Efectivo
0097,2025-12-31,47665911A,5172.95,JPY,Tarjeta
0489,2023-08-07,47187112T,1243.08,EUR,Bizum
0216,2024-10-10,39492750X,-6014.49,USD,Bizum
0069,2022-10-07,85387918B,4354.33,USD,Transferencia
0326,2023-03-01,93750792B,-3002.7,JPY,Bizum
0194,2025-02-02,66878315D,1590.78,MXN,Bizum
0298,2025-12-06,12196403J,9163.5,JPY,Retirada Efectivo
0455,2022-06-16,23312747J,-835.58,EUR,Transferencia
0248,2022-08-13,61605151Q,-2876.46,JPY,Bizum
