id_cliente,fecha_saldo,codigo_cliente,importe_operativa,moneda,tipo_operacion,max_saldo,fecha_mas_reciente,saldo_final,nombre,apellido1,apellido2,direccion,fecha_nacimiento,dni,nombre_completo,menor_30
40,2024-10-08,82819802R,5864.2,USD,Bizum,9339.41,2024-10-08,59707.22,,,,,,,  ,NO
196,2024-02-21,81844539I,-4756.53,USD,Bizum,9438.31,2024-02-21,8323.66,,,,,,,  ,NO
143,2023-12-16,21492445S,834.95,USD,Tarjeta,8918.0,2023-12-16,86997.77,,,,,,,  ,NO
107,2024-12-02,79569381T,9898.68,USD,Tarjeta,9898.68,2024-12-02,54996.82,,,,,,,  ,NO
209,2023-12-25,39970393T,3245.74,USD,Bizum,9980.67,2023-12-25,45134.68,,,,,,,  ,NO
389,2023-03-20,54500718X,9225.83,MXN,Tarjeta,9225.83,2023-03-20,22647.46,,,,,,,  ,NO
302,2023-07-17,54362044O,5877.54,EUR,Transferencia,9902.77,2023-07-17,40266.83,,,,,,,  ,NO
325,2025-02-26,63075373T,1045.38,USD,Transferencia,9929.32,2025-02-26,63616.2,,,,,,,  ,NO
433,2024-05-02,24004715Q,4618.56,MXN,Transferencia,7485.9,2024-05-02,37665.43,,,,,,,  ,NO
136,2023-07-05,70826344G,3708.06,GBP,Tarjeta,9947.51,2023-07-05,63003.1,,,,,,,  ,NO
243,2023-12-02,24793867L,745.14,USD,Tarjeta,8731.33,2023-12-02,78266.12,,,,,,,  ,NO
35,2024-10-26,99634044N,4685.05,GBP,Tarjeta,9773.66,2024-10-26,52572.53,,,,,,,  ,NO
191,2024-08-07,58151660N,3845.62,USD,Tarjeta,9744.86,2025-07-05,17397.14,,,,,,,  ,NO
451,2024-09-20,51633515E,-7111.14,EUR,Bizum,9839.83,2024-09-20,37696.12,,,,,,,  ,NO
44,2023-01-08,44230993P,7853.86,JPY,Tarjeta,9729.73,2023-01-08,40002.61,,,,,,,  ,NO
282,2024-06-08,86183733B,3232.11,EUR,Retirada Efectivo,9384.35,2024-06-08,-9921.29,,,,,,,  ,NO
64,2022-10-30,66604400E,6864.5,EUR,Tarjeta,9807.41,2022-10-30,43576.27,,,,,,,  ,NO
11,2022-02-11,24615857N,-7729.42,GBP,Bizum,9272.22,2022-02-11,-7195.52,,,,,,,  ,NO
352,2024-07-09,57737999B,8592.93,JPY,Retirada Efectivo,9870.01,2024-07-09,59185.6,,,,,,,  ,NO
412,2025-02-13,12251338R,-1560.95,EUR,Transferencia,9987.26,2025-02-13,31993.12,,,,,,,  ,NO
220,2023-06-08,50580605E,368.82,GBP,Retirada Efectivo,9744.77,2023-06-08,68415.91,,,,,,,  ,NO
490,2025-06-01,71940926G,9715.92,EUR,Retirada Efectivo,9881.82,2025-06-01,131111.79,,,,,,,  ,NO
315,2024-03-06,88161260A,7215.87,GBP,Bizum,9712.15,2024-03-06,65694.47,,,,,,,  ,NO
144,2025-02-11,25325181Z,944.97,EUR,Tarjeta,9994.79,2025-02-11,66777.67,,,,,,,  ,NO
271,2024-08-07,49461754T,-1120.44,JPY,Transferencia,9197.86,2024-08-07,30388.16,,,,,,,  ,NO
100,2024-12-06,12251338R,2925.09,MXN,Tarjeta,9410.85,2024-12-06,31993.12,,,,,,,  ,NO
94,2023-02-10,49110272T,1724.19,MXN,Bizum,7522.67,2023-02-10,57770.44,,,,,,,  ,NO
373,2023-02-24,45501597V,462.89,USD,Retirada Efectivo,8712.8,2023-02-24,42468.92,,,,,,,  ,NO
64,2025-05-06,89048735D,9668.09,USD,Tarjeta,9807.41,2025-05-06,52742.28,,,,,,,  ,NO
453,2023-05-13,35268535H,8716.3,JPY,Tarjeta,9008.93,2023-05-13,55448.62,,,,,,,  ,NO
457,2023-07-25,35803824V,-6282.23,JPY,Transferencia,9213.58,2023-07-25,12238.57,,,,,,,  ,NO
308,2022-05-21,63832732G,-877.4,USD,Transferencia,9791.51,2022-05-21,87146.81,,,,,,,  ,NO
305,2025-07-30,51084461I,8220.29,JPY,Bizum,9821.14,2025-07-30,80799.81,,,,,,,  ,NO
286,2024-09-06,39953028Q,2691.8,MXN,Retirada Efectivo,9955.52,2024-09-06,35817.53,,,,,,,  ,NO
485,2023-05-24,59849520C,7178.44,JPY,Bizum,9505.25,2023-05-24,28192.04,,,,,,,  ,NO
354,2025-09-24,53688354X,3195.85,USD,Tarjeta,8945.17,2025-09-24,39903.9,,,,,,,  ,NO
409,2025-08-22,93683522V,-3542.62,JPY,Transferencia,9175.08,2025-08-22,62643.49,,,,,,,  ,NO
377,2024-07-17,39483856X,9772.74,EUR,Retirada Efectivo,9772.74,2024-07-17,114409.6,,,,,,,  ,NO
282,2024-10-09,47200741I,-9297.11,GBP,Transferencia,9384.35,2024-10-09,30194.75,,,,,,,  ,NO
163,2025-07-31,12743229Y,6600.81,JPY,Bizum,9920.75,2025-07-31,94600.52,,,,,,,  ,NO
155,2023-04-15,80613360G,2745.21,JPY,Bizum,9961.32,2023-04-15,52708.77,,,,,,,  ,NO
71,2022-10-21,10419151C,8197.93,MXN,Tarjeta,9979.11,2022-10-21,97824.47,,,,,,,  ,NO
64,2022-07-26,51070730B,9807.41,USD,Tarjeta,9807.41,2022-07-26,65925.53,,,,,,,  ,NO
239,2022-05-14,44122229Q,-3079.4,GBP,Bizum,9849.44,2022-05-14,65567.66,,,,,,,  ,NO
170,2022-09-04,90262188O,-9750.25,JPY,Bizum,9826.23,2022-09-04,45765.82,,,,,,,  ,NO
441,2023-08-10,86452313D,5217.19,JPY,Retirada Efectivo,9420.21,2023-08-10,71588.78,,,,,,,  ,NO
317,2024-03-31,21135158D,362.87,MXN,Bizum,9922.55,2024-03-31,20538.41,,,,,,,  ,NO
198,2025-11-14,97882218O,-5985.25,JPY,Transferencia,9750.1,2025-11-14,34775.27,,,,,,,  ,NO
392,2024-07-16,81363555W,7612.22,EUR,Transferencia,9956.12,2024-07-16,60751.69,,,,,,,  ,NO
397,2023-11-17,24780661N,5824.02,MXN,Tarjeta,8763.65,2023-11-17,63197.41,,,,,,,  ,NO
410,2024-05-01,91241672P,4544.33,GBP,Transferencia,9389.46,2024-05-01,71736.37,,,,,,,  ,NO
482,2023-08-13,97983803L,6580.92,USD,Transferencia,7111.48,2023-08-13,79620.65,,,,,,,  ,NO
204,2025-09-21,38978836I,415.42,JPY,Tarjeta,9074.97,2025-09-21,44803.35,,,,,,,  ,NO
9,2022-09-05,85481219Y,2707.14,JPY,Tarjeta,8959.26,2022-09-05,55678.66,,,,,,,  ,NO
27,2023-12-07,17214825F,4932.06,EUR,Tarjeta,9275.12,2023-12-07,100212.01,,,,,,,  ,NO
309,2023-12-10,42785969Z,-4305.32,USD,Bizum,9657.64,2023-12-10,65285.69,,,,,,,  ,NO
113,2025-04-21,46897171Y,1704.16,USD,Retirada Efectivo,9571.01,2025-04-21,50315.11,,,,,,,  ,NO
346,2025-11-03,56287431F,6972.2,MXN,Tarjeta,9660.74,2025-11-03,81223.67,,,,,,,  ,NO
459,2024-05-04,53914210H,5558.86,EUR,Tarjeta,9461.5,2024-05-04,68012.89,,,,,,,  ,NO
237,2024-10-12,90524791R,6980.19,JPY,Bizum,8088.08,2024-10-12,35280.48,,,,,,,  ,NO
50,2024-08-17,81009052B,-4181.42,EUR,Transferencia,9506.65,2024-08-17,59510.19,,,,,,,  ,NO
43,2025-05-01,38635760G,-7788.86,EUR,Transferencia,9701.54,2025-05-01,6398.32,,,,,,,  ,NO
365,2022-11-20,28506978W,2708.93,MXN,Retirada Efectivo,9447.11,2022-11-20,37870.39,,,,,,,  ,NO
119,2022-04-28,58151660N,2352.99,EUR,Tarjeta,7722.92,2022-04-28,17397.14,,,,,,,  ,NO
484,2022-10-04,26420200J,5694.38,USD,Retirada Efectivo,9085.11,2022-10-04,39772.71,,,,,,,  ,NO
46,2023-09-04,90987915F,6947.72,JPY,Retirada Efectivo,9709.25,2023-09-04,62370.15,,,,,,,  ,NO
344,2023-05-26,90445099B,6720.18,JPY,Retirada Efectivo,9500.84,2023-05-26,96979.28,,,,,,,  ,NO
55,2024-08-15,47200741I,7902.0,JPY,Retirada Efectivo,9604.46,2024-08-15,30194.75,,,,,,,  ,NO
376,2024-02-06,60480211I,-3955.1,USD,Transferencia,9660.23,2024-02-06,39540.91,,,,,,,  ,NO
64,2024-01-09,17431406H,-2172.49,EUR,Transferencia,9807.41,2024-01-09,64682.62,,,,,,,  ,NO
262,2025-02-07,32545131W,-9049.9,EUR,Bizum,9423.87,2025-02-07,99778.64,,,,,,,  ,NO
294,2025-02-09,53116365E,5737.19,EUR,Transferencia,9798.34,2025-02-09,10198.4,,,,,,,  ,NO
458,2022-08-30,34062550V,7195.58,EUR,Tarjeta,9488.89,2022-08-30,153228.02,,,,,,,  ,NO
462,2022-09-15,53914210H,1517.72,USD,Tarjeta,7742.74,2022-09-15,68012.89,,,,,,,  ,NO
474,2025-02-10,55811250X,8925.11,USD,Tarjeta,9625.92,2025-03-09,74840.19,,,,,,,  ,NO
60,2025-09-30,14764253X,179.03,USD,Retirada Efectivo,9556.07,2025-09-30,-656.31,,,,,,,  ,NO
205,2022-09-23,23688795L,9226.28,JPY,Tarjeta,9226.28,2022-09-23,113226.07,,,,,,,  ,NO
30,2024-08-30,70945547G,-8857.9,JPY,Transferencia,9252.2,2024-08-30,50817.71,,,,,,,  ,NO
415,2025-05-08,84399377L,-3069.81,USD,Transferencia,8982.82,2025-05-08,78118.1,,,,,,,  ,NO
352,2024-08-08,79038819C,-5770.05,GBP,Transferencia,9870.01,2024-08-08,50494.89,,,,,,,  ,NO
437,2025-05-23,68874444C,2545.73,EUR,Tarjeta,9943.38,2025-05-23,78859.3,,,,,,,  ,NO
223,2022-05-10,94029203V,930.05,USD,Tarjeta,7822.53,2022-05-10,65552.13,,,,,,,  ,NO
268,2022-01-24,79569381T,4927.71,EUR,Retirada Efectivo,9695.11,2022-01-24,54996.82,,,,,,,  ,NO
384,2025-03-20,73146266O,7036.51,MXN,Tarjeta,9365.21,2025-03-20,53411.32,,,,,,,  ,NO
124,2025-07-22,13915168D,1685.53,GBP,Retirada Efectivo,9915.42,2025-07-22,52224.65,,,,,,,  ,NO
15,2022-11-24,90445099B,4093.12,MXN,Transferencia,9277.97,2022-11-24,96979.28,,,,,,,  ,NO
87,2022-05-22,90524791R,-9976.26,EUR,Transferencia,8910.12,2022-05-22,35280.48,,,,,,,  ,NO
253,2022-03-31,50057622H,504.74,EUR,Bizum,9540.47,2022-03-31,46419.51,,,,,,,  ,NO
309,2023-04-23,56278577Q,868.98,USD,Retirada Efectivo,9657.64,2023-04-23,29688.68,,,,,,,  ,NO
22,2025-01-09,35138260L,9125.15,MXN,Retirada Efectivo,9711.49,2025-01-09,57705.21,,,,,,,  ,NO
134,2024-04-04,44230993P,6386.12,EUR,Retirada Efectivo,8187.96,2024-04-04,40002.61,,,,,,,  ,NO
207,2025-05-30,67984339G,3412.59,MXN,Bizum,8929.64,2025-05-30,29791.83,,,,,,,  ,NO
93,2025-10-07,24584305T,4803.69,MXN,Transferencia,9866.11,2025-10-07,51321.69,,,,,,,  ,NO
429,2024-03-04,48033059N,2770.78,GBP,Transferencia,9396.02,2024-03-04,35955.75,,,,,,,  ,NO
80,2024-04-27,58151660N,4053.61,USD,Retirada Efectivo,9574.75,2024-04-27,17397.14,,,,,,,  ,NO
84,2024-02-26,81008715G,5997.8,USD,Tarjeta,9199.11,2024-02-26,66874.62,,,,,,,  ,NO
57,2022-09-04,13915168D,1428.03,EUR,Transferencia,9933.3,2022-09-04,52224.65,,,,,,,  ,NO
21,2023-04-23,41190327P,3508.94,EUR,Tarjeta,9716.86,2023-04-23,67499.78,,,,,,,  ,NO
38,2022-03-30,65177272J,-4839.31,GBP,Bizum,9497.82,2022-03-30,15233.07,,,,,,,  ,NO
71,2023-11-07,33058655B,110.87,EUR,Bizum,9979.11,2023-11-07,61215.88,,,,,,,  ,NO
500,2024-07-27,50114986X,785.21,GBP,Transferencia,7468.74,2024-07-27,50848.29,,,,,,,  ,NO
226,2024-11-09,28281172M,5821.95,EUR,Transferencia,9292.57,2024-11-09,35183.85,,,,,,,  ,NO
8,2022-02-28,18729560L,-3556.69,EUR,Bizum,8592.89,2022-02-28,18088.9,,,,,,,  ,NO
31,2022-10-24,81008715G,8626.81,GBP,Tarjeta,9097.28,2022-10-24,66874.62,,,,,,,  ,NO
194,2025-10-22,66308080Q,5390.34,EUR,Retirada Efectivo,9789.33,2025-10-22,35723.6,,,,,,,  ,NO
245,2023-06-26,91750951Y,9904.92,GBP,Tarjeta,9904.92,2023-06-26,30073.86,,,,,,,  ,NO
84,2022-10-10,49700624Z,8459.74,GBP,Tarjeta,9199.11,2022-10-10,45386.92,,,,,,,  ,NO
363,2023-02-20,68493964V,9448.7,EUR,Tarjeta,9448.7,2023-02-20,29712.31,,,,,,,  ,NO
468,2024-01-19,12667391B,9842.87,EUR,Tarjeta,9842.87,2024-01-19,82590.92,,,,,,,  ,NO
185,2022-07-25,81199383E,8834.17,GBP,Retirada Efectivo,9265.39,2022-07-25,75147.78,,,,,,,  ,NO
386,2022-06-04,32545131W,-3238.69,MXN,Transferencia,9776.15,2022-06-04,99778.64,,,,,,,  ,NO
371,2023-07-22,93683522V,7913.8,USD,Tarjeta,9815.61,2023-07-22,62643.49,,,,,,,  ,NO
336,2024-04-13,58468452H,6505.54,JPY,Transferencia,9684.89,2024-04-13,33631.73,,,,,,,  ,NO
498,2022-01-11,86852730N,1832.31,EUR,Transferencia,9979.73,2022-01-11,50642.35,,,,,,,  ,NO
215,2023-09-17,30121964A,4791.6,MXN,Bizum,9996.18,2023-09-17,62031.34,,,,,,,  ,NO
33,2024-09-29,11450503U,4858.36,USD,Retirada Efectivo,9094.29,2024-09-29,41969.28,,,,,,,  ,NO
336,2024-09-24,40936331I,6124.91,GBP,Retirada Efectivo,9684.89,2024-09-24,37562.8,,,,,,,  ,NO
240,2025-05-16,39469908X,2177.39,EUR,Tarjeta,9667.24,2025-05-16,26435.98,,,,,,,  ,NO
353,2022-03-20,60461743L,5977.72,GBP,Bizum,9973.87,2022-03-20,29697.26,,,,,,,  ,NO
205,2022-03-29,53044933Y,8294.72,USD,Tarjeta,9226.28,2022-03-29,81148.98,,,,,,,  ,NO
383,2025-10-31,56515677C,2202.06,GBP,Tarjeta,8772.01,2025-10-31,72077.42,,,,,,,  ,NO
261,2022-10-29,88544351G,9800.61,JPY,Retirada Efectivo,9932.49,2022-10-29,46182.38,,,,,,,  ,NO
499,2025-01-18,20000222Z,591.11,USD,Tarjeta,9219.83,2025-01-18,13466.54,,,,,,,  ,NO
94,2024-11-30,22736652W,-7401.54,MXN,Bizum,7522.67,2024-11-30,34775.25,,,,,,,  ,NO
68,2025-08-08,31503777O,6484.49,GBP,Retirada Efectivo,9593.71,2025-08-08,44876.95,,,,,,,  ,NO
255,2023-10-01,63075373T,6645.06,JPY,Retirada Efectivo,9889.45,2023-10-01,63616.2,,,,,,,  ,NO
205,2024-02-01,66038087C,8139.15,USD,Bizum,9226.28,2024-02-01,66701.19,,,,,,,  ,NO
495,2023-06-06,70192130S,5483.57,EUR,Tarjeta,9612.71,2023-06-06,35457.81,,,,,,,  ,NO
174,2023-08-04,30865514P,1470.73,EUR,Transferencia,9345.84,2023-08-04,37970.41,,,,,,,  ,NO
256,2024-04-12,81651959F,4816.36,USD,Transferencia,7460.6,2024-04-12,24169.68,,,,,,,  ,NO
203,2024-11-10,17431406H,896.53,USD,Transferencia,8455.42,2024-11-10,64682.62,,,,,,,  ,NO
151,2022-01-28,55729954K,356.43,USD,Tarjeta,9835.3,2022-01-28,22770.31,,,,,,,  ,NO
89,2022-10-28,37482283Q,-8454.2,MXN,Transferencia,9696.89,2022-10-28,54789.89,,,,,,,  ,NO
81,2025-04-17,79038819C,9669.35,GBP,Tarjeta,9669.35,2025-04-17,50494.89,,,,,,,  ,NO
246,2024-11-15,46897171Y,1457.09,MXN,Tarjeta,9851.01,2024-11-15,50315.11,,,,,,,  ,NO
47,2023-08-31,35641638E,-5811.02,MXN,Bizum,9415.6,2023-08-31,66457.66,,,,,,,  ,NO
199,2025-10-26,55136306G,4401.0,JPY,Transferencia,9302.81,2025-10-26,31402.94,,,,,,,  ,NO
183,2025-03-15,25539770B,5295.14,USD,Tarjeta,9511.54,2025-03-15,82517.58,,,,,,,  ,NO
323,2024-02-09,71785707P,4880.19,JPY,Retirada Efectivo,9098.6,2024-02-09,84341.5,,,,,,,  ,NO
311,2025-07-24,39469908X,3928.57,GBP,Transferencia,9928.08,2025-07-24,26435.98,,,,,,,  ,NO
394,2022-01-12,55136306G,-5960.93,GBP,Transferencia,9828.97,2022-01-12,31402.94,,,,,,,  ,NO
30,2025-09-21,91053792Y,5003.27,MXN,Retirada Efectivo,9252.2,2025-09-21,79727.09,,,,,,,  ,NO
373,2025-12-25,92269909F,-6501.7,EUR,Transferencia,8712.8,2025-12-25,42823.49,,,,,,,  ,NO
475,2023-10-12,35377269U,1453.33,JPY,Transferencia,9933.84,2023-10-12,75524.89,,,,,,,  ,NO
155,2025-04-11,63924815X,9903.22,GBP,Tarjeta,9961.32,2025-04-11,70238.85,,,,,,,  ,NO
375,2023-11-11,37482283Q,8835.39,MXN,Bizum,8844.97,2023-11-11,54789.89,,,,,,,  ,NO
414,2022-07-10,48033059N,-7538.13,EUR,Bizum,9152.02,2022-07-10,35955.75,,,,,,,  ,NO
480,2024-10-04,58090210Q,6904.56,MXN,Transferencia,8566.84,2024-10-04,56539.34,,,,,,,  ,NO
131,2022-06-28,41479569W,-1519.6,USD,Transferencia,9775.67,2022-06-28,54850.88,,,,,,,  ,NO
206,2024-10-07,54864614Q,3811.71,JPY,Tarjeta,9215.2,2024-10-07,60274.58,,,,,,,  ,NO
337,2024-07-22,29675782E,3969.71,USD,Retirada Efectivo,8561.05,2024-07-22,45871.52,,,,,,,  ,NO
75,2022-03-09,12251338R,-1506.22,EUR,Transferencia,9954.67,2022-03-09,31993.12,,,,,,,  ,NO
19,2022-02-04,97733633X,-622.48,GBP,Bizum,9771.13,2022-02-04,39791.94,,,,,,,  ,NO
18,2023-02-08,11303238D,-5126.93,EUR,Bizum,9190.38,2023-02-08,47854.39,,,,,,,  ,NO
224,2023-03-19,87072486H,4427.54,MXN,Tarjeta,7983.4,2023-03-19,14162.56,,,,,,,  ,NO
460,2025-07-18,99783545O,2424.35,USD,Transferencia,9956.89,2025-07-18,74418.77,,,,,,,  ,NO
245,2022-05-15,50503193C,4746.02,JPY,Tarjeta,9904.92,2022-05-15,93882.01,,,,,,,  ,NO
397,2023-05-28,92952828G,4359.75,JPY,Tarjeta,8763.65,2023-05-28,30626.77,,,,,,,  ,NO
208,2022-11-03,76421165Z,-5346.61,EUR,Bizum,9047.02,2022-11-03,17151.35,,,,,,,  ,NO
319,2024-05-10,50834773S,1155.47,USD,Bizum,9725.96,2024-05-10,67793.17,,,,,,,  ,NO
140,2025-06-10,55811250X,2314.44,USD,Retirada Efectivo,9693.86,2025-06-10,74840.19,,,,,,,  ,NO
272,2022-07-28,70826344G,-6308.2,JPY,Transferencia,9836.81,2022-07-28,63003.1,,,,,,,  ,NO
424,2025-07-28,30930247H,6182.75,JPY,Tarjeta,9776.45,2025-07-28,93047.48,,,,,,,  ,NO
297,2022-12-27,45501597V,-380.21,JPY,Transferencia,9361.28,2022-12-27,42468.92,,,,,,,  ,NO
53,2025-05-12,53688354X,1179.26,JPY,Retirada Efectivo,9990.5,2025-05-12,39903.9,,,,,,,  ,NO
373,2022-01-08,78684497I,5191.45,GBP,Tarjeta,8712.8,2022-01-08,78778.49,,,,,,,  ,NO
424,2023-12-05,33841049D,9776.45,GBP,Retirada Efectivo,9776.45,2023-12-05,66510.54,,,,,,,  ,NO
204,2025-05-27,81226959T,4274.79,USD,Transferencia,9074.97,2025-05-27,27716.04,,,,,,,  ,NO
345,2022-08-14,34716453O,5615.17,MXN,Transferencia,9522.75,2022-08-14,33875.3,,,,,,,  ,NO
152,2022-09-12,79569381T,3817.28,GBP,Tarjeta,9631.2,2022-09-12,54996.82,,,,,,,  ,NO
383,2022-09-11,41295892M,8772.01,GBP,Retirada Efectivo,8772.01,2022-09-11,91970.09,,,,,,,  ,NO
403,2022-03-10,92213987R,5978.38,GBP,Retirada Efectivo,9164.9,2022-03-10,62235.2,,,,,,,  ,NO
111,2024-03-05,50654593O,1470.9,USD,Tarjeta,9939.82,2024-03-05,38807.71,,,,,,,  ,NO
368,2023-01-12,54500718X,-7781.2,GBP,Bizum,9652.37,2023-01-12,22647.46,,,,,,,  ,NO
382,2025-08-09,20000222Z,7747.36,MXN,Retirada Efectivo,8274.34,2025-08-09,13466.54,,,,,,,  ,NO
14,2023-03-19,85968337D,-1151.03,MXN,Bizum,9736.19,2023-03-19,29692.47,,,,,,,  ,NO
116,2023-10-15,46897171Y,1299.49,JPY,Transferencia,8808.77,2023-10-15,50315.11,,,,,,,  ,NO
253,2022-04-26,75820506E,2572.78,USD,Tarjeta,9540.47,2022-04-26,30944.52,,,,,,,  ,NO
328,2022-08-20,64937968J,4131.18,USD,Transferencia,9073.83,2022-08-20,95095.4,,,,,,,  ,NO
408,2024-05-10,29675782E,6710.2,EUR,Retirada Efectivo,9367.84,2024-05-10,45871.52,,,,,,,  ,NO
34,2025-06-02,72910747G,-2278.66,EUR,Bizum,8218.77,2025-06-02,118554.45,,,,,,,  ,NO
92,2022-07-14,91750951Y,5240.32,EUR,Retirada Efectivo,9891.19,2022-07-14,30073.86,,,,,,,  ,NO
143,2025-03-29,72188877U,-4689.83,USD,Bizum,8918.0,2025-03-29,66114.96,,,,,,,  ,NO
419,2024-05-12,31738639V,5410.41,MXN,Tarjeta,9949.06,2024-05-12,49786.09,,,,,,,  ,NO
2,2024-02-05,85481219Y,8274.0,MXN,Tarjeta,9577.94,2024-02-05,55678.66,,,,,,,  ,NO
223,2025-09-16,45752549M,1730.37,JPY,Tarjeta,7822.53,2025-09-16,36401.89,,,,,,,  ,NO
249,2022-10-28,47572186L,9061.07,MXN,Bizum,9912.57,2022-10-28,45567.23,,,,,,,  ,NO
351,2022-12-20,53688354X,4038.91,JPY,Transferencia,9004.45,2022-12-20,39903.9,,,,,,,  ,NO
414,2024-03-21,42464509R,9152.02,EUR,Retirada Efectivo,9152.02,2024-03-21,88813.46,,,,,,,  ,NO
472,2025-01-10,38978836I,3015.93,USD,Retirada Efectivo,9844.72,2025-01-10,44803.35,,,,,,,  ,NO
393,2025-07-08,26657952U,7181.76,JPY,Retirada Efectivo,9956.32,2025-07-08,14978.26,,,,,,,  ,NO
94,2025-02-02,99133092L,606.25,USD,Tarjeta,7522.67,2025-02-02,34701.53,,,,,,,  ,NO
260,2022-10-31,96298230N,3400.79,USD,Bizum,9938.74,2022-10-31,40609.58,,,,,,,  ,NO
69,2025-06-08,87072486H,5092.07,GBP,Retirada Efectivo,9831.76,2025-06-08,14162.56,,,,,,,  ,NO
155,2025-02-08,21492445S,1206.57,JPY,Retirada Efectivo,9961.32,2025-02-08,86997.77,,,,,,,  ,NO
147,2025-06-21,73415373H,3739.52,MXN,Tarjeta,9002.17,2025-06-21,47040.96,,,,,,,  ,NO
141,2022-03-01,88953380U,2708.83,MXN,Retirada Efectivo,9846.52,2022-03-01,93512.16,,,,,,,  ,NO
469,2024-11-18,54362044O,-3715.63,EUR,Bizum,8254.88,2024-11-18,40266.83,,,,,,,  ,NO
195,2022-10-11,66604400E,6592.43,JPY,Retirada Efectivo,6592.43,2022-10-11,43576.27,,,,,,,  ,NO
218,2023-09-30,92163797F,3790.59,GBP,Retirada Efectivo,9141.04,2023-09-30,124145.73,,,,,,,  ,NO
490,2024-02-13,54627868G,4104.55,GBP,Bizum,9881.82,2024-02-13,85677.26,,,,,,,  ,NO
142,2024-06-07,90733396I,4719.33,GBP,Retirada Efectivo,9304.96,2024-06-07,51156.05,,,,,,,  ,NO
483,2023-04-20,99783545O,6563.44,GBP,Retirada Efectivo,9108.28,2023-04-20,74418.77,,,,,,,  ,NO
282,2024-06-20,14764253X,-9382.33,MXN,Bizum,9384.35,2024-06-20,-656.31,,,,,,,  ,NO
396,2024-03-16,84813778K,7038.06,USD,Transferencia,8941.43,2024-03-16,56802.69,,,,,,,  ,NO
100,2022-01-25,62165609E,5873.82,USD,Bizum,9410.85,2022-01-25,21539.36,,,,,,,  ,NO
48,2024-12-16,83261846V,230.5,USD,Bizum,9523.25,2024-12-16,55100.53,,,,,,,  ,NO
229,2022-04-04,80956880I,-7802.61,MXN,Bizum,9946.57,2022-04-04,17854.85,,,,,,,  ,NO
309,2023-12-17,81623520T,9347.72,USD,Bizum,9657.64,2023-12-17,33087.11,,,,,,,  ,NO
87,2023-08-09,13244207I,6466.96,JPY,Retirada Efectivo,8910.12,2024-12-30,76726.05,,,,,,,  ,NO
38,2024-06-09,61471647U,4539.72,JPY,Tarjeta,9497.82,2024-06-09,75711.76,,,,,,,  ,NO
150,2022-11-08,90987915F,-4128.34,MXN,Transferencia,9619.41,2022-11-08,62370.15,,,,,,,  ,NO
269,2024-05-23,38318963B,1436.94,EUR,Transferencia,6578.82,2024-05-23,27977.75,,,,,,,  ,NO
108,2024-10-13,50834773S,-9416.47,USD,Bizum,9136.22,2024-10-13,67793.17,,,,,,,  ,NO
