codigo_cliente,id_cliente,fecha_saldo,importe_operativa,moneda,tipo_operacion,max_saldo,fecha_mas_reciente,saldo_final,nombre,apellido1,apellido2,direccion,fecha_nacimiento,dni,nombre_completo,menor_30
36680443A,273,2024-12-17,7915.64,EUR,Retirada Efectivo,9089.55,2024-12-17,81780.73,,,,,,,"",NO
64250679F,304,2023-06-23,3674.35,JPY,Retirada Efectivo,9282.54,2023-06-23,82815.01,,,,,,,"",NO
26574180I,206,2022-11-24,3063.98,MXN,Tarjeta,8747.65,2022-11-24,61063.82,,,,,,,"",NO
33168781D,32,2022-01-14,4870.53,GBP,Transferencia,9598.25,2022-01-14,99555.53,,,,,,,"",NO
74344108K,342,2025-05-06,8430.58,GBP,Tarjeta,9872.82,2025-05-06,70336.93,,,,,,,"",NO
52269811Z,63,2022-02-07,6348.51,USD,Tarjeta,9865.53,2022-02-07,67625.77,,,,,,,"",NO
49662850J,23,2024-08-10,-2245.81,EUR,Bizum,8764.36,2024-08-10,73642.64,,,,,,,"",NO
65377011G,257,2022-09-04,591.47,MXN,Tarjeta,9655.23,2022-09-04,47294.38,,,,,,,"",NO
31954708D,465,2023-06-15,-776.41,USD,Bizum,8909.97,2023-06-15,83461.82,,,,,,,"",NO
50020502X,277,2022-06-23,-2223.54,JPY,Bizum,9366.24,2022-06-23,35702.8,,,,,,,"",NO
71899444Y,14,2024-01-16,-2252.32,EUR,Transferencia,9083.26,2024-01-16,107699.49,Sofía,López,Sánchez,Calle Luna 5,1988-11-03,34567890C,Sofía López Sánchez,NO
23681690N,49,2025-07-07,2357.37,USD,Transferencia,9829.15,2025-07-07,69849.21,,,,,,,"",NO
35957775T,491,2022-02-11,1064.92,USD,Retirada Efectivo,9611.63,2022-02-11,21856.87,,,,,,,"",NO
95735897U,348,2023-10-01,9112.02,EUR,Transferencia,9317.23,2023-10-01,68224.47,,,,,,,"",NO
65377011G,144,2023-05-26,4516.22,EUR,Retirada Efectivo,9782.5,2023-05-26,47294.38,,,,,,,"",NO
95694861F,338,2022-09-22,-3131.59,GBP,Bizum,8488.61,2022-09-22,89301.55,,,,,,,"",NO
55015641W,382,2022-07-18,8221.93,JPY,Tarjeta,9781.22,2022-07-18,97215.33,,,,,,,"",NO
88890489J,456,2024-11-24,8113.11,GBP,Transferencia,9376.16,2024-11-24,81105.77,,,,,,,"",NO
84866182V,279,2022-08-26,463.05,EUR,Retirada Efectivo,9783.81,2022-08-26,98611.34,,,,,,,"",NO
78481808C,255,2024-11-17,154.09,JPY,Tarjeta,9575.56,2024-11-17,38543.95,,,,,,,"",NO
24010733S,6,2024-01-10,2674.12,EUR,Retirada Efectivo,9583.41,2024-01-10,30365.53,,,,,,,"",NO
92885083V,367,2025-05-25,6829.84,JPY,Retirada Efectivo,9860.3,2025-05-25,43338.88,,,,,,,"",NO
87788382P,496,2022-05-02,-8105.45,JPY,Bizum,9923.74,2022-05-02,27596.89,,,,,,,"",NO
21952227L,331,2023-04-15,6912.43,MXN,Bizum,9602.15,2023-04-15,-11490.09,,,,,,,"",NO
64853798V,260,2022-03-19,554.36,USD,Transferencia,9984.22,2022-03-19,52355.18,Raquel,Esteban,Quintero,Calle del Campo 4,1986-11-11,14151617W,Raquel Esteban Quintero,NO
77401638B,139,2023-12-10,6473.14,JPY,Retirada Efectivo,9504.92,2023-12-10,59935.28,,,,,,,"",NO
50020502X,100,2023-05-14,280.47,MXN,Bizum,8189.19,2023-05-14,35702.8,,,,,,,"",NO
35529251E,239,2025-04-30,-8143.64,USD,Bizum,8127.24,2025-04-30,18460.27,,,,,,,"",NO
45641315L,192,2022-11-08,3225.3,MXN,Tarjeta,9794.03,2022-11-08,64383.77,,,,,,,"",NO
27029841F,490,2022-01-01,4562.68,USD,Retirada Efectivo,9166.5,2022-01-01,32880.83,,,,,,,"",NO
47187112T,200,2022-03-11,4411.51,EUR,Tarjeta,9859.67,2022-03-11,92591.83,,,,,,,"",NO
50916614C,244,2025-07-30,1934.02,MXN,Transferencia,9478.27,2025-07-30,34701.28,,,,,,,"",NO
89743159P,156,2024-10-15,466.33,USD,Retirada Efectivo,6202.8,2024-10-15,34760.17,,,,,,,"",NO
36709559B,380,2024-04-26,5988.38,MXN,Retirada Efectivo,7955.56,2024-04-26,56490.38,,,,,,,"",NO
11397512R,455,2022-10-18,-9943.13,MXN,Transferencia,9210.36,2022-10-18,31008.45,,,,,,,"",NO
76283991K,346,2025-05-21,7673.25,MXN,Tarjeta,9048.63,2025-05-21,7492.19,,,,,,,"",NO
14957535A,438,2025-01-22,7172.16,JPY,Tarjeta,9813.21,2025-01-22,40949.46,,,,,,,"",NO
52757597D,435,2023-11-22,3693.69,JPY,Retirada Efectivo,9307.38,2023-11-22,40027.44,,,,,,,"",NO
32705301X,134,2025-12-13,5402.65,EUR,Bizum,9939.83,2025-12-13,18485.15,Joaquín,Del Valle,Gómez,Av. del Lago 14,2020-04-04,21222324D,Joaquín Del Valle Gómez,SI
65075772F,163,2024-02-05,2538.53,EUR,Tarjeta,9536.25,2024-02-05,17603.59,,,,,,,"",NO
71811704W,457,2024-07-25,5575.27,EUR,Bizum,8601.27,2024-07-25,93947.96,,,,,,,"",NO
75637771O,125,2025-06-10,-4657.71,USD,Transferencia,9890.01,2025-06-10,32331.16,,,,,,,"",NO
56572821H,486,2022-09-02,7467.34,GBP,Retirada Efectivo,9597.95,2022-09-02,4038.46,,,,,,,"",NO
96043651D,223,2023-07-07,349.49,USD,Tarjeta,9476.44,2023-07-07,13089.02,,,,,,,"",NO
29668681L,385,2023-07-24,1328.62,GBP,Transferencia,9698.39,2023-07-24,52679.16,,,,,,,"",NO
81950959T,127,2022-10-01,6016.14,JPY,Tarjeta,9675.37,2025-01-10,47110.13,,,,,,,"",NO
31324961Z,454,2024-12-08,5093.15,EUR,Retirada Efectivo,9693.82,2024-12-08,68107.42,,,,,,,"",NO
57594673F,414,2022-10-16,3259.6,USD,Tarjeta,9838.09,2022-10-16,9615.64,,,,,,,"",NO
76381793S,491,2024-04-05,6869.93,USD,Bizum,9611.63,2024-04-05,68039.08,,,,,,,"",NO
95549651F,435,2025-12-28,4162.8,USD,Retirada Efectivo,9307.38,2025-12-28,44611.52,,,,,,,"",NO
94675177L,164,2024-02-24,9482.89,JPY,Tarjeta,9482.89,2024-02-24,77858.62,,,,,,,"",NO
29071199A,62,2023-12-29,3026.15,JPY,Transferencia,9808.68,2023-12-29,55856.7,,,,,,,"",NO
19862675A,3,2024-06-10,-8298.24,USD,Bizum,9844.46,2024-06-10,3463.03,,,,,,,"",NO
17070719G,47,2024-04-03,4910.19,MXN,Bizum,8706.96,2024-04-03,26593.31,,,,,,,"",NO
65743702V,214,2024-08-28,-9449.72,JPY,Transferencia,8883.46,2024-08-28,36405.66,,,,,,,"",NO
92885083V,349,2024-09-20,7071.21,EUR,Retirada Efectivo,9155.02,2024-09-20,43338.88,,,,,,,"",NO
69195001F,228,2023-11-11,6601.49,MXN,Transferencia,9736.01,2023-11-11,10592.73,,,,,,,"",NO
64940056Z,168,2025-03-24,2489.88,GBP,Retirada Efectivo,8561.34,2025-03-24,67121.81,,,,,,,"",NO
87788382P,345,2023-08-13,-1310.44,JPY,Transferencia,8267.32,2023-08-13,27596.89,,,,,,,"",NO
17453908X,482,2025-07-09,7749.21,JPY,Tarjeta,8860.04,2025-07-09,75139.12,,,,,,,"",NO
15501170S,180,2025-12-07,-8500.09,MXN,Bizum,9807.23,2025-12-07,16366.36,,,,,,,"",NO
29926585K,33,2024-12-01,-466.35,GBP,Bizum,9677.9,2024-12-01,3898.94,,,,,,,"",NO
82524490J,106,2024-05-25,2454.01,USD,Retirada Efectivo,9550.24,2024-05-25,60322.25,,,,,,,"",NO
42913560A,391,2025-09-17,-4533.27,GBP,Transferencia,9419.39,2025-09-17,49917.31,,,,,,,"",NO
90792426C,156,2022-09-06,-5416.87,EUR,Transferencia,6202.8,2022-09-06,26317.47,,,,,,,"",NO
31308169C,103,2022-12-19,7423.06,USD,Tarjeta,9716.25,2022-12-19,137024.74,,,,,,,"",NO
61800130C,346,2022-03-29,3024.57,MXN,Bizum,9048.63,2022-03-29,55749.39,Roberto,Vega,Ortega,Calle Jardín 12,1989-05-17,89012345H,Roberto Vega Ortega,NO
91889521P,386,2022-01-23,-2230.95,JPY,Transferencia,9848.44,2022-01-23,58847.07,,,,,,,"",NO
40747789Z,441,2024-04-09,-5809.42,GBP,Transferencia,9755.63,2024-04-09,65670.69,,,,,,,"",NO
95735897U,25,2022-10-01,4258.96,MXN,Retirada Efectivo,9654.53,2022-10-01,68224.47,,,,,,,"",NO
42913560A,25,2024-02-29,3927.16,JPY,Tarjeta,9654.53,2024-02-29,49917.31,,,,,,,"",NO
50562133T,180,2023-10-14,-3434.48,EUR,Transferencia,9807.23,2023-10-14,69396.1,,,,,,,"",NO
47187112T,337,2022-09-12,7078.85,EUR,Transferencia,9631.15,2022-09-12,92591.83,,,,,,,"",NO
99082359Y,422,2023-10-15,2274.81,MXN,Tarjeta,9878.3,2023-10-15,35767.72,,,,,,,"",NO
31244736W,148,2023-06-15,-3632.39,MXN,Bizum,9879.82,2023-06-15,54344.77,Marta,Navarro,Jiménez,Calle Real 9,1991-01-08,78901234G,Marta Navarro Jiménez,NO
39222928U,199,2023-05-03,442.02,MXN,Bizum,9809.44,2023-05-03,17072.48,,,,,,,"",NO
45168663L,415,2023-07-02,-532.14,EUR,Bizum,9504.65,2023-07-02,80831.75,,,,,,,"",NO
66886990G,102,2023-08-11,8321.14,JPY,Tarjeta,9889.29,2023-08-11,53604.24,,,,,,,"",NO
81810281V,54,2022-08-30,562.46,GBP,Retirada Efectivo,9857.11,2022-08-30,40264.24,,,,,,,"",NO
87114611J,13,2022-07-04,9630.81,MXN,Bizum,9630.81,2022-07-04,149794.53,Manuel,Delgado,Martínez,Av. del Norte 8,1984-08-08,23242526F,Manuel Delgado Martínez,NO
82267962O,291,2023-10-20,6637.11,MXN,Tarjeta,6727.78,2023-10-20,38803.88,,,,,,,"",NO
78481808C,450,2025-05-04,2185.25,EUR,Retirada Efectivo,9578.64,2025-05-04,38543.95,,,,,,,"",NO
88890489J,407,2024-06-10,2703.17,EUR,Tarjeta,7409.35,2024-06-10,81105.77,,,,,,,"",NO
79161841Q,481,2025-10-08,6407.38,USD,Tarjeta,9612.33,2025-10-08,66336.84,,,,,,,"",NO
53694203X,322,2024-07-17,-7942.64,MXN,Transferencia,8149.87,2024-07-17,45962.68,,,,,,,"",NO
10278500S,188,2022-03-05,2255.11,EUR,Retirada Efectivo,9689.21,2022-03-05,43451.66,,,,,,,"",NO
27261052J,211,2024-12-11,8149.26,JPY,Transferencia,9574.01,2024-12-11,49266.95,,,,,,,"",NO
99171250T,429,2023-07-16,6177.17,USD,Tarjeta,7772.78,2023-07-16,40203.61,,,,,,,"",NO
23166003I,499,2024-04-11,2776.06,GBP,Retirada Efectivo,9885.9,2024-04-11,110315.63,,,,,,,"",NO
32826897B,33,2024-09-13,-1171.1,MXN,Transferencia,9677.9,2024-09-13,57291.5,Silvia,Del Río,Navarro,Calle del Sol 5,1986-12-12,22232425E,Silvia Del Río Navarro,NO
40063188Y,123,2025-06-04,7013.67,USD,Tarjeta,8867.28,2025-06-04,65514.16,,,,,,,"",NO
18253393I,35,2025-07-20,7653.9,MXN,Transferencia,9622.03,2025-07-20,-3326.84,,,,,,,"",NO
53641418E,246,2024-08-02,-448.0,MXN,Transferencia,9644.45,2024-08-02,7167.99,,,,,,,"",NO
90228959U,401,2025-10-15,-2240.34,MXN,Bizum,9298.71,2025-10-15,117553.86,,,,,,,"",NO
95546117G,293,2022-07-03,9685.82,GBP,Tarjeta,9772.35,2022-07-03,35375.9,,,,,,,"",NO
46984919M,280,2023-11-22,6976.6,GBP,Tarjeta,9846.78,2023-11-22,33455.05,,,,,,,"",NO
28638940F,449,2023-07-15,-8872.98,EUR,Transferencia,9582.64,2023-07-15,-8380.81,,,,,,,"",NO
44046437N,111,2025-08-28,2466.52,GBP,Transferencia,7893.76,2025-08-28,57546.69,,,,,,,"",NO
28726981O,211,2023-06-26,9403.13,GBP,Retirada Efectivo,9574.01,2023-06-26,60392.37,,,,,,,"",NO
74344108K,126,2022-08-31,-3542.77,MXN,Bizum,9864.99,2022-08-31,70336.93,,,,,,,"",NO
20301602F,88,2023-02-04,8100.87,EUR,Transferencia,9981.11,2023-02-04,85243.45,Natalia,Ramírez,García,Calle Sur 14,2007-12-11,11223344K,Natalia Ramírez García,SI
39871679L,127,2022-06-29,-3416.79,MXN,Transferencia,9675.37,2022-06-29,59324.18,,,,,,,"",NO
81810281V,203,2025-06-17,2003.16,EUR,Tarjeta,9516.05,2025-06-17,40264.24,,,,,,,"",NO
67421117B,434,2023-04-08,2583.41,GBP,Bizum,9198.59,2023-04-08,21243.69,,,,,,,"",NO
60195151Y,284,2023-03-27,-8660.01,MXN,Bizum,9450.97,2024-11-27,28016.06,,,,,,,"",NO
80354341P,81,2023-06-15,-899.12,MXN,Transferencia,8917.85,2023-06-15,34083.18,,,,,,,"",NO
97584073A,278,2025-02-27,9444.33,USD,Tarjeta,9444.33,2025-02-27,40013.2,Lucía,Gómez,Martínez,Calle Mayor 10,2001-04-12,12345678A,Lucía Gómez Martínez,SI
89050198I,193,2023-01-15,5789.42,GBP,Retirada Efectivo,9193.76,2023-01-15,97077.73,,,,,,,"",NO
61800130C,62,2025-06-21,8137.02,JPY,Tarjeta,9808.68,2025-06-21,55749.39,Roberto,Vega,Ortega,Calle Jardín 12,1989-05-17,89012345H,Roberto Vega Ortega,NO
34160987D,352,2024-09-22,5067.51,MXN,Retirada Efectivo,9558.81,2024-09-22,21672.31,,,,,,,"",NO
20849937M,82,2022-12-10,1222.05,GBP,Tarjeta,9707.67,2022-12-10,111393.06,,,,,,,"",NO
91392338E,194,2024-06-13,3910.72,JPY,Retirada Efectivo,9960.18,2024-06-13,-10345.5,,,,,,,"",NO
34721532F,58,2023-08-06,4230.56,USD,Retirada Efectivo,9651.56,2023-08-06,13367.32,,,,,,,"",NO
11534627P,418,2024-08-06,144.89,JPY,Tarjeta,9920.32,2024-08-06,34309.43,,,,,,,"",NO
97991887J,79,2025-05-23,-3584.36,USD,Bizum,9552.27,2025-05-23,62463.51,,,,,,,"",NO
88779555I,152,2022-11-18,-2588.35,USD,Transferencia,8917.96,2022-11-18,40704.17,,,,,,,"",NO
72219160B,191,2022-12-24,-3010.18,EUR,Transferencia,9530.16,2022-12-24,41211.13,,,,,,,"",NO
26026604U,38,2024-11-10,1331.45,GBP,Retirada Efectivo,9623.35,2024-11-10,41055.64,,,,,,,"",NO
83296684N,207,2024-09-25,7416.0,JPY,Tarjeta,9673.85,2024-09-25,49934.99,,,,,,,"",NO
64036956H,394,2023-07-05,7904.2,USD,Transferencia,9791.63,2023-07-05,64918.47,,,,,,,"",NO
30268217Y,177,2022-11-17,-9277.61,USD,Bizum,9908.75,2022-11-17,44693.47,,,,,,,"",NO
68876826V,78,2024-02-07,3329.47,MXN,Tarjeta,9943.23,2024-02-07,59889.99,,,,,,,"",NO
11194048D,275,2022-03-11,2566.16,GBP,Tarjeta,8825.74,2022-03-11,3253.81,,,,,,,"",NO
40129809S,154,2024-12-31,137.11,EUR,Tarjeta,9939.53,2024-12-31,67657.96,,,,,,,"",NO
83296684N,46,2022-12-18,9369.64,USD,Tarjeta,9369.64,2022-12-18,49934.99,,,,,,,"",NO
92885083V,18,2022-03-04,8160.61,MXN,Tarjeta,9685.85,2022-03-04,43338.88,,,,,,,"",NO
30470492G,344,2024-06-16,7782.4,GBP,Transferencia,9695.99,2024-06-16,62963.16,,,,,,,"",NO
44027737F,320,2025-07-10,9560.06,EUR,Transferencia,9846.25,2025-07-10,69639.22,,,,,,,"",NO
32039814E,156,2024-06-03,-2342.22,USD,Bizum,6202.8,2024-06-03,94330.69,,,,,,,"",NO
28638940F,209,2025-04-08,-745.21,GBP,Transferencia,9279.74,2025-04-08,-8380.81,,,,,,,"",NO
57594673F,458,2022-05-05,-4407.01,EUR,Transferencia,8474.88,2022-05-05,9615.64,,,,,,,"",NO
26043387Y,229,2025-03-16,467.34,JPY,Tarjeta,9926.58,2025-03-16,62519.19,,,,,,,"",NO
15915771I,420,2023-09-25,8201.08,USD,Transferencia,8201.08,2023-09-25,80968.27,,,,,,,"",NO
18899942V,282,2022-03-16,-2018.52,EUR,Bizum,9794.34,2022-03-16,68275.09,,,,,,,"",NO
20808835G,112,2023-05-24,6516.69,USD,Transferencia,8463.42,2023-05-24,49999.9,,,,,,,"",NO
49662850J,402,2024-07-08,1940.21,USD,Retirada Efectivo,9691.99,2024-07-08,73642.64,,,,,,,"",NO
89741042K,476,2024-03-02,-6012.04,GBP,Bizum,9237.6,2024-03-02,36194.65,,,,,,,"",NO
19639671X,294,2023-09-03,2493.81,GBP,Tarjeta,8915.8,2023-09-03,55071.38,,,,,,,"",NO
79161841Q,269,2022-08-30,1916.6,MXN,Tarjeta,9956.46,2022-08-30,66336.84,,,,,,,"",NO
34587632O,440,2023-02-11,5234.64,EUR,Retirada Efectivo,9225.35,2023-02-11,96837.69,,,,,,,"",NO
15455647Q,402,2023-06-18,1623.76,USD,Transferencia,9691.99,2023-06-18,39301.08,,,,,,,"",NO
81950959T,463,2025-05-28,-7372.87,GBP,Bizum,9855.92,2025-05-28,47110.13,,,,,,,"",NO
37108478D,396,2022-04-21,4278.47,JPY,Tarjeta,9053.84,2022-04-21,43301.97,Marcos,Ortega,Delgado,Av. del Río 2,1985-10-10,17181920Z,Marcos Ortega Delgado,NO
14787574E,476,2023-01-22,8151.14,MXN,Retirada Efectivo,9237.6,2023-01-22,46561.77,,,,,,,"",NO
60768720V,178,2022-04-24,8033.75,JPY,Bizum,9853.37,2022-04-24,60691.71,,,,,,,"",NO
49397986U,29,2022-12-14,-6322.95,MXN,Transferencia,8610.32,2022-12-14,94914.52,,,,,,,"",NO
72534705Y,119,2022-04-16,8755.29,MXN,Tarjeta,8755.29,2022-04-16,34340.6,,,,,,,"",NO
34232908K,16,2022-05-17,-4491.46,EUR,Bizum,9870.38,2022-05-17,97713.11,,,,,,,"",NO
89743159P,55,2024-05-29,6671.59,JPY,Tarjeta,9958.92,2024-05-29,34760.17,,,,,,,"",NO
27307581P,57,2022-04-03,-8033.48,JPY,Transferencia,9655.15,2022-04-03,50828.48,,,,,,,"",NO
62506960T,81,2024-10-18,-4976.12,MXN,Transferencia,8917.85,2024-10-18,27715.54,,,,,,,"",NO
52467321Q,437,2025-07-03,1033.93,EUR,Retirada Efectivo,9867.3,2025-07-03,2415.71,,,,,,,"",NO
41640035S,44,2025-05-14,2167.47,MXN,Transferencia,9156.54,2025-05-14,76095.79,,,,,,,"",NO
28726981O,269,2022-03-15,1315.82,EUR,Retirada Efectivo,9956.46,2022-03-15,60392.37,,,,,,,"",NO
11534627P,82,2022-03-30,-7860.4,GBP,Transferencia,9707.67,2022-03-30,34309.43,,,,,,,"",NO
11397512R,450,2023-01-10,-4650.98,MXN,Bizum,9578.64,2023-01-10,31008.45,,,,,,,"",NO
60195151Y,420,2025-01-26,3731.19,GBP,Retirada Efectivo,8201.08,2025-01-26,28016.06,,,,,,,"",NO
28192295U,397,2025-06-24,7064.08,GBP,Tarjeta,7975.14,2025-06-24,32325.9,,,,,,,"",NO
83919232P,391,2024-04-16,3583.52,GBP,Retirada Efectivo,9419.39,2024-04-16,18004.41,,,,,,,"",NO
66954887T,278,2024-07-13,303.69,EUR,Retirada Efectivo,9444.33,2024-07-13,47946.57,,,,,,,"",NO
40075645Z,486,2022-05-08,2133.76,JPY,Retirada Efectivo,9597.95,2022-05-08,30063.01,Carmen,Del Río,Serrano,Calle del Jardín 2,1991-11-11,24252627G,Carmen Del Río Serrano,NO
93802972Z,397,2022-09-20,5953.59,JPY,Retirada Efectivo,7975.14,2022-09-20,33618.28,,,,,,,"",NO
64646912J,318,2023-04-12,-3443.19,MXN,Bizum,8693.6,2023-04-12,53150.99,,,,,,,"",NO
84697968G,222,2025-07-02,-6411.35,USD,Transferencia,9393.71,2025-07-02,29577.51,,,,,,,"",NO
13901417L,116,2023-05-11,-9048.79,GBP,Transferencia,9685.91,2023-05-11,37429.12,Esther,Delgado,Del Río,Av. del Este 6,1999-09-09,25262728H,Esther Delgado Del Río,SI
47665911A,79,2023-12-07,1853.68,GBP,Transferencia,9552.27,2023-12-07,97533.49,,,,,,,"",NO
83824578O,215,2025-03-08,-6514.0,EUR,Bizum,9622.84,2025-03-08,39470.48,,,,,,,"",NO
44027737F,167,2024-04-18,7069.55,EUR,Bizum,9592.84,2024-04-18,69639.22,,,,,,,"",NO
54442150K,22,2024-09-21,3854.13,GBP,Bizum,9707.39,2024-09-21,39280.03,,,,,,,"",NO
